# TriggerType: TRIGGER_SECOND
#-----
10:14:02.966	0	0.0033112582781456954	1	1	2	2	0	0	49	1	0	0	0	0	0	0	0	1	48	49	1	0	0	0	0	0	0	0	1	48	
10:14:03.875	1	0.0033112582781456954	1	0	2	0	0	0	49	1	0	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	
10:14:04.875	2	0.0033112582781456954	1	0	2	0	0	0	49	1	0	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	
10:14:05.876	3	0.0033112582781456954	1	0	2	0	0	0	49	1	0	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	
10:14:06.875	4	0.0033112582781456954	1	0	2	0	0	0	49	1	0	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	
10:14:07.875	5	0.002844950213371266	2	1	9	7	0	0	194	3	0	0	0	0	0	0	0	2	144	145	2	0	0	0	0	0	0	0	1	96	
10:14:08.875	6	0.002844950213371266	3	1	15	6	0	0	194	3	0	0	3	3	0	0	0	3	144	0	0	0	0	3	3	0	0	0	1	0	
10:14:09.875	7	0.002844950213371266	3	0	15	0	0	0	194	3	0	0	3	3	0	0	0	3	144	0	0	0	0	0	0	0	0	0	0	0	
10:14:10.875	8	0.002844950213371266	3	0	15	0	0	0	194	3	0	0	3	3	0	0	0	3	144	0	0	0	0	0	0	0	0	0	0	0	
10:14:11.876	9	0.002844950213371266	3	0	15	0	0	0	194	3	0	0	3	3	0	0	0	3	144	0	0	0	0	0	0	0	0	0	0	0	
10:14:12.875	10	0.0017482517482517483	4	1	26	11	0	0	462	7	0	0	3	3	0	0	0	4	286	268	4	0	0	0	0	0	0	0	1	142	
10:14:13.875	11	0.0034965034965034965	7	3	53	27	0	0	462	7	0	0	24	24	0	0	0	7	286	0	0	0	0	21	21	0	0	0	3	0	
10:14:14.876	12	0.0034965034965034965	7	0	55	2	0	0	462	7	0	0	26	26	0	0	0	7	286	0	0	0	0	2	2	0	0	0	0	0	
